Galaxy Dist. M_BH M_low M_high sigma sigma_error
Circinus 4.0 1.7E6 1.4E6 2.1E6 158 18
IC1459 30.9 2.8E9 1.6E9 3.9E9 340 17
MW 0.008 4.1E6 3.5E6 4.7E6 105 20
N0221 0.86 3.1E6 2.5E6 3.7E6 75 3
N0224 0.80 1.5E8 1.2E8 2.4E8 160 8
N0821 25.5 4.2E7 3.4E7 7.0E7 209 10
N1023 12.1 4.6E7 4.1E7 5.1E7 205 10
N1068 15.4 8.6E6 8.3E6 8.9E6 151 7
N1300 20.1 7.1E7 3.6E7 1.4E8 218 10
N1399 21.1 5.1E8 4.4E8 5.8E8 337 16
N1399 21.1 1.3E9 6.4E8 1.8E9 337 16
N2748 24.9 4.7E7 8.6E6 8.5E7 115 5
N2778 24.2 1.6E7 5.8E6 2.5E7 175 8
N2787 7.9 4.3E7 3.8E7 4.7E7 189 9
N3031 4.1 8.0E7 6.9E7 1.0E8 143 7
N3115 10.2 9.6E8 6.7E8 1.5E9 230 11
N3227 17.0 1.5E7 7.0E6 2.0E7 133 12
N3245 22.1 2.2E8 1.7E8 2.7E8 205 10
N3377 11.7 1.1E8 1.0E8 2.2E8 145 7
N3379 11.7 1.2E8 6.2E7 2.0E8 206 10
N3384 11.7 1.8E7 1.5E7 1.9E7 143 7
N3585 21.2 3.4E8 2.8E8 4.9E8 213 10
N3607 19.9 1.2E8 7.9E7 1.6E8 229 11
N3608 23.0 2.1E8 1.4E8 3.2E8 182 9
N3998 14.9 2.4E8 6.2E7 4.5E8 305 15
N4026 15.6 2.1E8 1.7E8 2.8E8 180 9
N4258 7.2 3.78E7 3.77E7 3.79E7 115 10
N4261 33.4 5.5E8 4.3E8 6.6E8 315 15
N4291 25.0 3.2E8 8.3E7 4.1E8 242 12
N4342 18.0 3.6E8 2.4E8 5.6E8 225 11
N4374 17.0 1.5E9 9.0E8 2.6E9 296 14
N4459 17.0 7.4E7 6.0E7 8.8E7 167 8
N4473 17.0 1.3E8 3.6E7 1.8E8 190 9
N4486 17.0 3.6E9 2.6E9 4.6E9 375 18
N4486A 17.0 1.3E7 9.0E6 1.8E7 111 5
N4564 17.0 6.9E7 5.9E7 7.3E7 162 8
N4594 10.3 5.7E8 1.7E8 1.1E9 240 12
N4596 18.0 8.4E7 5.9E7 1.2E8 136 6
N4649 16.5 2.1E9 1.5E9 2.6E9 385 19
N4697 12.4 2.0E8 1.8E8 2.2E8 177 8
N5077 44.9 8.0E8 4.7E8 1.3E9 222 11
N5128 4.4 3.0E8 2.8E8 3.4E8 150 7
N5128 4.4 7.0E7 3.2E7 8.3E7 150 7
N5576 27.1 1.8E8 1.4E8 2.1E8 183 9
N5845 28.7 2.9E8 1.2E8 3.4E8 234 11
N6251 106.0 6.0E8 4.0E8 8.0E8 290 14
N7052 70.9 4.0E8 2.4E8 6.8E8 266 13
N7457 14.0 4.1E6 2.4E6 5.3E6 67 3
N7582 22.3 5.5E7 4.4E7 7.1E7 156 19
A1836 157.5 3.9E9 3.3E9 4.3E9 288 14
A3565 54.4 5.2E8 4.4E8 6.0E8 322 16
