#Table1
u,g,r,i,z,class,z1,zerr
18.81884,17.43457,16.78584,16.4136,16.21785,GALAXY,0.06666632,8.861804E-06
19.12596,17.07806,16.06028,15.60132,15.22937,GALAXY,0.08504885,1.038869E-05
18.53564,18.40876,18.17157,18.05177,17.95021,QSO,1.976976,0.0004126142
17.73117,15.85441,14.96049,14.53826,14.21232,GALAXY,0.06325037,1.012002E-05
18.81917,18.3814,18.25552,18.24124,18.0659,QSO,2.485893,0.00042471
18.63997,16.78549,15.92512,15.50494,15.17244,GALAXY,0.04959218,1.587078E-05
19.3745,17.5207,16.5626,16.11888,15.77699,GALAXY,0.08524752,1.487558E-05
18.59146,16.60197,15.67003,15.2146,14.83626,GALAXY,0.03491127,1.287385E-05
19.23863,18.86211,18.66063,18.66477,18.69954,QSO,1.342626,0.0004142377
19.45634,18.4164,17.78574,17.35477,17.15612,GALAXY,0.1295933,7.215709E-06
17.5272,16.21035,15.49163,15.08849,14.76232,GALAXY,0.05354019,1.337551E-05
18.8048,16.93245,15.9695,15.52136,15.18585,GALAXY,0.08532948,1.672825E-05
19.587,18.54439,17.63429,17.21947,16.83842,GALAXY,0.2453747,0.0001020974
19.5481,17.44178,16.4497,15.99364,15.63432,GALAXY,0.08148775,2.493682E-05
19.53291,18.93348,18.53942,18.55142,17.93995,QSO,0.3186324,3.178226E-05
19.04269,18.69224,18.74203,18.50184,18.36338,QSO,0.5095316,4.577599E-05
18.45508,17.40488,16.98099,16.66946,16.49801,GALAXY,0.05021957,6.969623E-06
18.84438,17.17405,16.36347,15.8754,15.50073,GALAXY,0.05026148,1.070328E-05
19.46403,18.14614,17.37638,16.94839,16.72287,GALAXY,0.1134742,9.507435E-06
19.57687,18.41184,17.71061,17.32117,17.09385,GALAXY,0.127475,1.018701E-05
19.31642,19.3637,19.36323,19.20292,19.00809,QSO,2.040778,0.0003672719
18.45198,17.12134,16.48526,16.06147,15.81343,GALAXY,0.07542698,6.207076E-06
19.57631,18.34004,17.63517,17.2234,17.01786,GALAXY,0.1208858,1.219715E-05
18.29955,16.66687,15.75831,15.29836,14.96427,GALAXY,0.0861843,1.711743E-05
19.34745,17.49424,16.50293,16.05139,15.73611,GALAXY,0.1070973,2.245926E-05
19.20787,18.23195,17.91893,17.68966,17.55822,GALAXY,0.04758136,5.901391E-06
18.80159,16.97304,16.32971,15.97348,15.65455,GALAXY,0.03369463,7.254861E-06
18.56112,16.70229,15.80085,15.35081,15.07527,GALAXY,0.08525033,2.530673E-05
18.67696,16.67668,15.67645,15.19843,14.84089,GALAXY,0.08415552,1.831342E-05
19.25951,18.0273,17.3658,16.98639,16.80003,GALAXY,0.1212057,3.041449E-05
17.70606,16.73144,16.38555,16.05391,15.99159,GALAXY,0.06361914,5.8287E-06
19.45044,19.40387,19.29169,19.23133,19.37933,QSO,1.380999,0.0007301308
19.32298,17.94489,17.33679,16.96554,16.77077,GALAXY,0.1066193,8.7924E-06
18.70773,17.27558,16.1338,15.63603,15.24181,GALAXY,0.1630185,1.930046E-05
19.38434,19.28643,19.07731,19.05835,18.99653,QSO,1.418108,0.0004592716
